buy_amount,buy_price,sell_amount,sell_price
6.30185525,7784.8,0.86219998,7784.9
1.54145551,7784.7,0.3,7785
0.2,7784.3,0.09915967,7787.1
0.3,7784.2,0.23650066,7787.2
1.7683622,7783.4,0.8656,7788.2
2,7783.3,0.2,7788.4
0.1404,7782,0.2,7788.7
0.1,7781.9,0.006447,7790.3
0.85,7781.8,3.29960907,7790.4
0.5260683,7781.1,5.57682682,7790.5
0.3,7780.6,1.27,7790.9
0.002,7780.5,0.72954995,7791
0.71880211,7780.4,1.5,7791.1
0.000856,7780.1,0.19395516,7791.3
0.7441,7780,0.002,7791.4
3,7779.8,1.85049015,7791.7
0.72,7779.1,0.43713339,7791.8
3,7779,0.57279446,7792
0.2667,7778.9,0.2,7792.1
0.0912,7778.7,0.002,7792.2
2.9798,7778.4,0.28727357,7793.2
0.247318,7778.3,0.47303873,7793.3
0.94330576,7777.8,1.54144789,7793.9
0.02569893,7777.5,1,7794
4,7776.9,0.13333334,7794.9
2.266,7776.7,0.57323113,7795.1
0.37132798,7776.4,2.0307,7795.9
0.7526,7776.3,0.49572754,7796.5
1.10954029,7776.1,1.99283555,7796.8
0.13333333,7775.9,7.40442467,7796.9
0.06418819,7774.9,5.12252673,7797.2
0.224,7774.7,24.43323939,7797.3
3.12425,7774.6,0.44964029,7798
0.08,7774.4,1.5441,7798.3
1,7774,0.002,7798.4
0.38594,7773.1,0.34,7798.8
2.02070966,7772.9,0.03,7800
0.02741116,7772.5,0.9,7800.4
0.002,7772.4,0.02741098,7800.8
0.23650214,7772.3,1.5,7801.4
1,7772,0.99148512,7802
0.00133905,7771.6,1.52751834,7802.7
0.38601,7771.5,1.5,7803
0.00543233,7771.4,0.1991,7804
0.00139193,7771.2,1.5,7804.1
0.06422199,7771.1,0.2949,7804.6
0.00144481,7770.7,0.2,7805.2
6.6954341,7770.4,0.45065698,7806
4.50149768,7770.3,0.06422118,7806.3
0.5,7770.1,0.24575,7806.4
0.38604,7770,0.01289864,7806.5
0.00155056,7769.8,5.77314327,7806.8
4.7949,7769.7,1.28062144,7806.9
0.00160343,7769.4,0.12254696,7807
3.95689367,7769.3,0.41594672,7808
0.00165631,7768.9,2.84690793,7808.2
0.32,7768.7,3.85277871,7808.3
0.58786918,7768.5,0.8733,7808.5
4.50376206,7768,1.43,7809
0.80181494,7767.6,0.0006,7810
0.06422199,7767.2,0.2,7810.1
0.00186781,7767.1,1.24422118,7810.2
0.38624,7767,0.02861748,7810.7
4.2783132,7766.9,2.425,7810.8
0.00192069,7766.7,0.0006,7812
0.00197356,7766.2,1.26137438,7812.9
1.1968,7766,0.01829913,7814
0.00202644,7765.8,4.54055076,7814.1
0.38631,7765.5,2.434,7814.2
0.5,7765.4,0.72775,7814.7
2.92287931,7765.3,3.132,7814.8
4.90238523,7765,0.0006,7815
0.00213219,7764.9,3.0208,7815.6
0.05481899,7764.6,1.53787005,7816.2
0.00218506,7764.4,1.28062144,7816.6
3.8480579,7764.1,1,7817.5
0.56691328,7764,3.91699989,7818
0.9916743,7763.9,0.00537315,7818.2
0.00229082,7763.5,0.2072994,7818.8
0.06422199,7763.3,0.01059,7820
1.53787005,7763.2,1.26137438,7822.6
0.00234369,7763.1,3.13159872,7822.8
0.00239657,7762.6,4.046,7822.9
2.82046,7762.4,1,7823.4
0.00244944,7762.2,1,7823.5
0.00250232,7761.7,0.08443182,7825
0.00255519,7761.3,0.0004,7825.1
0.9733,7761,1.53787005,7825.9
0.3865,7760.9,1.28062144,7826.4
0.00260807,7760.8,0.0004,7826.7
0.06127806,7760.5,3.85277871,7827.7
0.00266095,7760.4,0.025,7828
0.5,7760.3,0.25,7828.5
0.2029,7760,0.008375,7829
1.00271382,7759.9,0.49,7830
1.26209472,7759.6,0.0004,7830.9
0.0027667,7759.5,0.25084131,7831.7
0.06422199,7759.4,0.5254,7832
0.00281957,7759,1.26137438,7832.3
0.00287245,7758.6,0.371597,7833.2
0.00292532,7758.1,5.226,7833.3
2.75927897,7757.7,29.4024,7833.7
0.00644,7757.6,0.0004,7833.8
0.00303108,7757.2,0.7006,7835
1.28078639,7757.1,2.4294,7835.9
0.00308395,7756.8,1.28062144,7836.1
0.00313683,7756.3,29.2131,7836.9
0.0031897,7755.9,0.0004,7837
0.01339054,7755.7,3.85277871,7837.5
0.06422199,7755.5,0.41594672,7837.7
0.00324258,7755.4,0.025,7838
0.04335115,7755.3,0.0004,7838.2
0.00329545,7755,1.1,7839
0.12698878,7754.9,0.005,7839.3
3.85303245,7754.4,0.0004,7839.6
1.01391929,7753.9,1.25,7840
1.53787005,7753.5,0.0004,7840.8
3.132,7753.2,3.138,7841.7
0.0062,7752.5,0.02861748,7841.9
7.38729216,7752.3,1.26137438,7842.1
0.01444805,7752.1,24.34425,7842.4
2.01304,7751,24.502,7843.3
0.01497681,7750.4,0.50153574,7845
1.26209472,7749.9,6.7508,7845.3
1.803,7749,1.28062144,7845.8
0.41594672,7748.7,0.01829913,7846.4
0.01550557,7748.6,4.2,7847.1
0.02861748,7748.2,3.85277871,7847.2
0.079,7748,4.32716971,7847.6
0.12254696,7747.9,0.48459993,7848
1.28078639,7747.4,0.01305674,7848.6
0.01603432,7746.8,0.01,7848.8
4.046,7745.3,0.125,7849.1
0.01656308,7745,4.1609,7850
3.85303245,7744.7,1.214,7850.8
1.53787005,7743.7,0.0004,7851
4.01709184,7743.3,1.26137438,7851.8
1,7742.1,0.0004,7852.4
0.004018,7742,0.1838227,7852.5
0.01762059,7741.5,0.00301372,7854
0.1,7741,0.0008,7854.3
1.26209472,7740.1,0.00125,7855
0.03522727,7740,0.015,7855.6
0.01814935,7739.7,1.567,7857.2
0.0471625,7739.2,0.025,7858
1.00308549,7738.8,24.60013842,7859
0.12686091,7738.2,0.1,7859.3
0.00162212,7738.1,1.11,7860
0.01867811,7737.9,0.3425,7860.7
1.28078639,7737.7,5.238,7861
1,7737.1,0.01,7861.4
29.4024,7737,0.525,7862
0.00704545,7736.9,0.00147934,7862.1
0.01920686,7736.2,0.025,7864.4
0.25,7735.2,0.0159604,7864.7
5.226,7735.1,0.1506,7865
0.5,7735,0.0004,7865.9
3.85303245,7734.9,2.6,7866.6
0.00757421,7734.6,0.00431685,7867.2
0.01973562,7734.4,0.41642756,7867.3
0.0006,7733.5,5.8,7867.4
