中国国家铁路集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,财政部(持股100%),公路与铁路,中央国有企业,1/10,产业,-,铁路运输,be183c3e44784126bfa2cbaf6a10f577,-,-,-,-,-
四川省铁路产业投资集团有限责任公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,四川发展(控股)有限责任公司(持股100%),建筑与工程,地方国有企业,4/10,产业,四川省铁路投资平台，具有区域重要性，对外部融资依赖较大。,建筑工程,959d9419384f4287a4933e8ea84ba908,贸易及建筑施工行业，行业盈利弱，竞争压力大,川发展为公司控股股东，地方国企，有一定的外部支持基因,公司主要负责地方铁路的投资、建设和运营，具有较好的区域重要性，近年公司收入主要来自建筑施工和商品销售收入，2018年实现收入908亿，净利润不足1亿。公司建筑施工以路桥施工为主，运营主体为A股上市公司四川路桥运营。公司铁路投资项目纳入基础设施代管项目，公司投入的资金将由四川省政府补偿。整体看，公司规模大，但资质弱。,公司近年自由现金流持续表现为较大缺口，对外部筹资依赖较强。负债率近70%，债券以私募债和银行间品种为主，无序融资行为突出。截止2019年6月底，其他权益工具（永续债）存量余额307亿，名义上降低了负债率，实际偿债压力有增无减。期限结构不合理。警惕公司偿债能力依赖外部融资。,盈利、融资弹性、贸易业务风险
广东省铁路建设投资集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,广东省人民政府国有资产监督管理委员会(持股100%),铁路运输,地方国有企业,4/10,产业,公司为广东省铁路投资和运营主体，但公司盈利和现金流偏弱，需持续关注其资金压力。,铁路运输,be183c3e44784126bfa2cbaf6a10f577,近年，各地政府与铁路总公司合作成立铁路投资企业，但是该类企业持续依靠融资进行项目建设，自身盈利和现金回流不足，需持续关注其财务风险。,"公司是广东省政府全资控股子公司，代表广东省政府持有并经营广东境内由省政府投资的铁路、城际及其他轨道交通以及相关国有资产。政府将以铁路基金公司财政引导资金而非财政拨款的形式给予资金支持，。截至2018年末,广东省财政引导资金已全部到位， 社会资金部分到位， 铁路基金合计到位 286亿元。",公司代表广东省与中国铁路总公司成立项目公司，以合作方式建设铁路建设项目；公司已完成广珠城际、 广佛肇城际等广东省重要城际轨道交通线路并开通运营； 由于公司运营城际轨道线路均处于培育期且未形成路网效应， 公司铁路客运业务盈利能力较差；2018年在建城际轨道交通项目建设规模350公里，尚需投资超过700亿元，在建项目资金压力很大；鉴于公司从事的省内城际轨道交通和干线铁路投资建设业务对综合交通网络和地区社会经济发展具有重要意义，获取外部融资能力很强。,截至2018年底，公司总资产以固定资产和在建工程为主；随着公司铁路项目建设持续投入，负债规模持续扩大：19年3月资产负债率48.49%，公司债务绝大部分为长期债务；公司铁路运营业务盈利能力较弱，期间费用快速增长和投资收益持续为负，导致公司持续亏损；由于公司投资支出较大，资金缺口对筹资依赖程度很大。,资金压力、长期债务压力
京津冀城际铁路投资有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,天津铁路建设投资控股(集团)有限公司(持股30%),铁路运输,地方国有企业,4/10,产业,公司为京津冀城际铁路的建设、运营、维护的实施主体，目前处于初创和初步运营阶段，预计随着建设项目推进，企业发展较快；关注资本金到位情况。,铁路运输,be183c3e44784126bfa2cbaf6a10f577,京津冀城际铁路网规划建设是在中长期铁路网的基础上，结合京津冀协同发展战略要求编制的，规划以“四纵四横一环”为主骨架，覆盖了京津冀地区主要城市、沿海经济带和枢纽机场，实现了城际铁路网络化以及与全国客运铁路网间的互联互通。,公司是为落实京津冀协同发展，由京津冀三省市与铁路总公司共同创建。公司注册资本100亿元，截止2018年末，实收资本47亿元，四方股东为北京市基础设施投资有限公司、天津铁路建设投资控股（集团）有限公司、河北建投交通投资有限责任公司、中国铁路北京局集团有限公司，出资比例为30%、30%、30%、10%。公司无实际控制人。,公司为京津冀城际铁路的建设、运营、维护的实施主体，根据具体线路建设需要，作为业主方及发起人，以具体线路为对象成立项目公司，已成立京唐城际、京滨城际、城际铁路联络线三个项目公司。截至19年3月末，公司无已完工运行的铁路项目，在建铁路项目主要为京唐铁路项目、京滨铁路项目、城际铁路联络线一期工程项目，未来三年内拟开工建设的铁路项目及站点项目共计5个；预计在建投资885.62亿元，已投资87.80亿元，拟建投资计划投资909.16亿元，资金缺口巨大。预计，公司城际铁路运营收入主要来源于运营线路产生的票款收入，拟发展广告、通信管道、高铁物流等多种经营项目进行铁路沿线综合资源开发，来丰富收入来源。,公司财务规模不大，但预计未来资产规模迅速扩张。当前负债率不高，但预计债务扩张迅速：截至18年9月末，资产负债率37.16%；预计未来随着在建项目的推进，债务扩张迅速，债务结构将以长期为主，债务成本不高。公司处于初创期，暂无盈利，但公益性特征较强，预计未来亏损概率很大，业绩对于业务拓展和政府支持的依赖程度很大。,资本金到位情况
山东铁路投资控股集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,山东高速集团有限公司,铁路运输,地方国有企业,4/10,产业,-,铁路运输,be183c3e44784126bfa2cbaf6a10f577,-,-,-,-,-
江西省铁路投资集团有限责任公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,江西省发展和改革委员会(持股100%),公路与铁路,地方国有企业,4/10,产业,江西省铁路投资建设的唯一主体，收入主要来与贸易和小部分铁路专线运营、房地产等，公司参股铁路绝大部分处于亏损状态；资产以参股铁路和投资的专线、金融类股权为主；关注资本支出压力、贸易业务往来中的坏账风险,建筑工程,959d9419384f4287a4933e8ea84ba908,-,-,-,-,-
安徽省铁路发展基金股份有限公司,AAA 展望:稳定,上海新世纪资信评估投资服务有限公司,安徽省投资集团控股有限公司(持股46.67%),多领域控股,-,5/10,产业,"公司为安徽省唯一一家省级铁路建设投融资平台，自身无实际铁路建设经营管理权，控股股东另指定安徽铁
投负责铁路建设项目；持续获得地方政府支持，关注投资回收情况。",-,-,铁路建设投资是我国重要基础设施；部分省份设立铁路发展基金，通过财政资金引导，引入社会资本。关注铁路投资盈利和现金回流差。,公司成立于2013年3月7日，于2014年5月26日在基金业协会上备案，由安徽省皖投铁路投资管理有限公司负责管理，控股股东为安徽省投资集团控股有限公司，实际控制人为安徽国资委。安徽省财政资金将给予持续支持。,"公司为安徽省唯一一家省级铁路建设投融资平台，自身无实际铁路建设经营管理权，控股股东另指定安徽铁
投负责铁路建设项目。根据皖政【2015】27号，至2020年目标将总资产规模扩大至600亿元以上。2015-2020年安徽省拟新建铁路3608公里，公司原则上承担省本级出资不低于400亿元。“十三五”期间，对于省内纳入规划的铁路，省内出资额由皖投集团（安徽省铁路基金代）与沿线市人民政府按照6：4比例分担。截至2018年6月末，完成铁路建设出资84.85亿元，未来投资压力仍很大。公司资本运作的存续投资以母基金、定向增发和股权投资为主，辅以少量理财产品投资，并将计划控股上市公司。",2017年，公司部分退出母基金项目5个，完全退出专项基金项目3个，部分退出专项基金项目1个，共获得收益5.46亿元，但其中部分项目受让方为公司投资的其它基金，相关投资风险仍留存于体系内。随着部分定增项目的退出以及新增定增项目投资的放缓，2018年定增规模有所下降，母基金和专项基金规模均略有上升。截至2018年6月末，公司账面投资规模为164.93亿元，较年初下降9.06%，其中母基金和专项基金投资规模占比约46%；定增规模占比约为45%；非上市股权投资规模占比约为6%；存续定增项目中，已解禁项目21个，总浮亏13.70亿元；尚未解禁项目总浮亏1.06亿元。,投资回收、政府支持
云南省投资控股集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,云南省人民政府国有资产监督管理委员会(持股90%),综合类行业,地方国有企业,5/10,产业,公司是云南省政府的投资主体和经营实体，是云南省最大的综合性投资集团公司。但区域认可度一般，存在区域性溢价。,综合,83da854994aa4811833e8dc156ee1654,公司是云南省政府的投资主体和经营实体，是云南省最大的综合性投资集团公司。,公司的实际控制人系云南省国资委。,公司拥有电力、铁路建设、旅游、金融等多个板块的业务，其中贸易业务收入占比最高，存在较大的坏账风险；参股的水电、金融等板块每年投资收益在30亿元左右，而公司利润总额在5-20亿元之间波动。公司下属核心子公司云能投曾有划转传闻，目前虽然并表，但公司控制力不强；其他板块多涉及基建，资金需求大。,公司债务规模不断攀升，18年末约1965亿元，永续调整后的负债率为71.26%，偿债压力大。此外，云南省级平台间交叉持股现象突出，16年公司曾计提大额减值。,债务规模大。并表业务的实际控制力有待加强。
河南铁路投资有限责任公司,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,河南省人民政府(持股100%),公路与铁路,地方国有企业,5/10,产业,-,-,-,-,-,-,-,-
云南省铁路投资有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,云南省投资控股集团有限公司(持股77.99%),建筑与工程,地方国有企业,5/10,产业,-,建筑工程,959d9419384f4287a4933e8ea84ba908,-,-,-,-,-
湖南铁路建设投资有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,湖南轨道交通控股集团有限公司(持股100%),公路与铁路,地方国有企业,5/10,产业,-,铁路运输,be183c3e44784126bfa2cbaf6a10f577,-,-,-,-,-
河南城际铁路有限公司,AA 展望:稳定,大公国际资信评估有限公司,郑州铁路局(持股50%),公路与铁路,地方国有企业,6/10,产业,-,铁路运输,be183c3e44784126bfa2cbaf6a10f577,-,-,-,-,-
四川省铁路集团有限责任公司,AA 展望:稳定,联合信用评级有限公司,四川省铁路产业投资集团有限责任公司(持股100%),综合类行业,地方国有企业,6/10,产业,-,铁路运输,be183c3e44784126bfa2cbaf6a10f577,-,-,-,-,-
