中国国家铁路集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,财政部(持股100%),公路与铁路,中央国有企业,1/10,产业,-,,铁路运输,-,-,-,-,-
中央汇金投资有限责任公司,AAA 展望:稳定,联合资信评估有限公司,中国投资有限责任公司(持股100%),多元资本市场,中央国有企业,1/10,产业,国家出资设立的独资企业，对重点金融企业进行股权投资，防范化解金融风险，战略定位独特，综合实力雄厚。,,多元金融,其投资支持绝大部分集中在银行业。银行业整体稳定。,国家出资设立，根据国务院授权进行中的金融企业投资，外部支持很强。,参股国开行、工农中建、光大集团、光大银行、再保险集团等19家金融机构，不开展其他商业经营活动，不干预参股金融企业经营活动。主要通过参加股东大会、派出董事监事等方式监督参股企业风险管理工作。,公司拥有万亿级别资产，负债率很低；盈利和现金对债务覆盖倍数很高，偿债能力极强。,金融行业系统性风险
中国石油化工股份有限公司,AAA 展望:稳定,联合信用评级有限公司,中国石油化工集团有限公司(持股68.31%),综合性石油天然气,中央国有企业,1/10,产业,-,,石油化工,-,-,-,-,-
中国电信股份有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,中国电信集团公司(持股70.89%),综合电信服务,中央国有企业,1/10,产业,中国三大全业务综合信息服务供应商之一，同时也是全球最大的固定电信及宽带服务运营商，债务无风险,,通信运营,通信行业。行业用户渗透率基本饱和，但具有很强的政策保护，属于典型的寡头垄断竞争格局。,实际控制人为国务院国资委。,中国三大全业务综合信息服务供应商之一，同时也是全球最大的固定电信及宽带服务运营商。截至2018年末，公司4G用户达到2.42亿户，继续小幅增长。公司主要收入来源包括移动语音、固话语音、互联网和增值服务，其中，移动语音和固话语音收入不断下降，互联网业务收入占比不断攀升，整体收入保持相对稳定。但基础通信市场已基本饱和，未来发展有赖于新兴领域业务拓展。,公司盈利水平基本保持稳定，整体负债率不高，2019年3月末为50.75%；刚性债务规模1008亿元，其中长期债务4760亿元；由于业务成熟，公司获现能力很强，全部债务/EBITDA仅为1倍，偿债指标良好，财务状况稳健。,产业政策调整
中国石油天然气集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,国资委(持股100%),综合性石油天然气,中央国有企业,1/10,产业,垄断型央企，公司整体抗风险能力强。,,石油开采,石油能源行业垄断性强，整体抗风险能力极强,国务院国资委直属央企，外部支持极强。,国内最大的油气生产和销售商，整体规模大，抗风险能力和综合实力极强。,整体杠杆程度适中，融资渠道通畅，但受减值政策影响，利润有所下滑。,石油价格波动
戴姆勒股份公司,-,-,-,汽车制造,外商独资企业,1/10,产业,-,,,-,-,-,-,-
国家电网有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,国务院国有资产监督管理委员会(持股100%),电力,中央国有企业,1/10,产业,国内两大电网公司之一，垄断优势明显，经营实力突出。,,电力,电网行业具有很强垄断优势。,国务院直属央企，外部支持力度大。,公司经营范围覆盖面广，垄断优势明显，资产规模大，经营优势极强。,公司整体财务稳健，有息债务率低，盈利及现金流情况良好。,无特别风险
中国石油化工集团有限公司,AAA 展望:稳定,联合信用评级有限公司,国资委(持股100%),综合性石油天然气,中央国有企业,1/10,产业,公司为石油垄断企业之一，抗风险能力强。,,石油开采,原油价格波动很大，石油和天然气开采业为典型周期行业；国内行业呈现垄断状态。,国资委直属央企,公司为我国第二大石油企业，国民经济中占重要地位。关注减值损失。,财务规模很大，抗风险能力强；关注负债攀升以及减值风险。,原油价格波动、减值风险
中国海洋石油集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,国资委(持股100%),综合性石油天然气,中央国有企业,1/10,产业,-,,石油开采,-,-,-,-,-
中国长江三峡集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,国资委(持股100%),电力,中央国有企业,1/10,产业,一线央企，具有系统重要性，类似国家信用；不受不利经济环境影响,,电力,水电行业，发电成本具有较强优势，但发电能力受到来水情况影响。,国务院国资委直属央企，外部支持很强。,公司具有较强的国家战略意义，是国内最大的水电公司，行业地位领先。,公司盈利能力及现金生成能力极强，债务程度适中。,水源稳定性
中国南方电网有限责任公司,AAA 展望:稳定,上海新世纪资信评估投资服务有限公司,广东省人民政府(持股38.4%),电力,中央国有企业,1/10,产业,一线央企，具有系统重要性，类似国家信用；,,电力,电网具有自然垄断性，市场结构稳定，经营风险低,大型央企，具有区域专营优势,公司是我国南方五省电网唯一运营商，具有区域专营优势，盈利易受国家电价政策影响，盈利能力强。,财务杠杆偏高，现金流表现良好，财务风险极低,电力政策调整、电力体制改革
中国石油天然气股份有限公司,AAA 展望:稳定,联合资信评估有限公司,中国石油集团(持股80.65%),综合性石油天然气,中央国有企业,1/10,产业,央企，石油巨头之一，信用水平很好。,,石油开采,油气开采、炼油及化工，行业涉及国家能源安全，属于政策高度保护的行业，行业信用为准主权级。,公司是超一线央企，业务特殊，外部支持力度很强。,上游资源领域，公司是中国最大的原油和天然气勘探和生产企业；公司原油和天然气证实开发储量分别为74亿桶和76888十亿立方英尺;下游业务方面，公司是中国最大的成品油生产和销售企业，截至2017年末，公司旗下运营加油站21399座。由于业务涉及国家能源安全，属于系统重要性公司，是国内极少可以获得发改委特优服务的公司。,公司资质规模十分庞大，负债率比较低，营业收入规模巨大，盈利及获现能力极强，偿债压力很小。,无。
招商局集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,国务院(持股100%),综合类行业,中央国有企业,1/10,产业,一级央企，信用资质很好。,,综合,综合企业，涉及行业众多。,央企，获得外部支持能力强,公司在港口、航运、银行业、证券业等多个行业均保持较强竞争力，经营和盈利能力较强。,公司财务杠杆一般，且外部支持较大，财务风险较低。,经济波动带来经营风险；行业众多股权结构复杂存在一定管理风险
中国中信集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,中华人民共和国财政部(持股90%),综合类行业,中央国有企业,1/10,产业,财政部控股，信用水平很高。,,,央企背景综合性金融平台,实际控制人为财政部。,综合性跨国企业，在国内外资本市场具有很高知名度。,资本实力雄厚，基本无财务风险。,无
中信证券股份有限公司,AAA 展望:稳定,中诚信证券评估有限公司,香港中央结算(代理人)有限公司(持股18.79%),投资银行业与经纪业,公众企业,2/10,产业,-,,证券,-,-,-,-,-
中国华润有限公司,AAA 展望:稳定,联合资信评估有限公司,国资委(持股100%),综合类行业,中央国有企业,2/10,产业,-,,综合,-,-,-,-,-
中国雄安集团有限公司,-,-,-,综合支持服务,地方国有企业,2/10,产业,-,,,-,-,-,-,-
中国联合网络通信有限公司,AAA 展望:稳定,联合信用评级有限公司,中国联合网络通信(香港)股份有限公司(持股100%),综合电信服务,中央国有企业,2/10,产业,我国三大电信运营商之一,,通信运营,随着我国宏观经济的发展和人民生活水平的不断提高，综合化、个性化的消费需求逐年增长，电信行业保持了较快的发展速度；,"截至2018年底，公司实收资本为2,130.45亿元，联通红筹公司全资持有公司100%股份；公司最终控制人为国务院国有资产监督管理委员会。",作为我国三大电信运营商之一， 拥有庞大的客户基础，在全业务发展、基础网络资源、 技术创新及业务覆盖范围等方面均具有较强的竞争力，行业影响力大。,公司作为国内三大运营商之一，在电信行业、 产业链上下游乃至国民经济中所处地位， 公司整体偿债能力极强。,无
中国南方航空集团有限公司,AAA 展望:稳定,联合信用评级有限公司,国资委(持股100%),航空,中央国有企业,2/10,产业,公司为国内三大航空公司之一，规模以及竞争优势突出，为业内全国性龙头产业公司，受不利经济环境影响很小。本期期限短，关注资金成本,,航空运输,航空业景气度有经济周期有较大的关系，盈利受需求、油价、汇率等影响较大。,公司是国务院国资委直接管理的大型中央企业，外部支持力度很强。,公司是国内三大航空公司之一，机队规模、航线网络、年客运量等多项指标位居国内首位，在行业内有较强的竞争力。近年公司收入与利润保持增长，经营状况较为稳健。,由于航空业的特性，公司的资产负债率较高，但是考虑公司良好的盈利和现金流，对利息支出的覆盖程度很高，财务状况较为稳健。,航空政策的变化；国际油价与人民币汇率的变化。
国电电力发展股份有限公司,AAA 展望:稳定,东方金诚国际信用评估有限公司,中国国电集团有限公司(持股46%),电力,中央国有企业,2/10,产业,央企，无资质问题，考虑资金成本,,电力,能源电力行业，关注电力下游需求增速放缓影响,中国国电集团公司控股的全国性上市发电公司，是中国国电集团公司在资本市场的直接融资窗口和实施整体改制的平台；得到国电集团在资产注入和业务发展方面的有力支持,作为国电集团的核心上市公司，公司主要从事电力生产和销售、煤炭销售、化工产品销售以及热力生产和销售等业务；公司营业收入主要来源于电力生产和销售，近年来公司发电量逐年下降，营业收入有所波动，但综合毛利率维持在较高水平。公司整体盈利能力强，,2019年3月末，公司负债率68.47%，货币资金及即时可变现资产规模较大，长短期债务规模配置相当。融资弹性好，财务风险可控,电力行业政策变化及经济增速放缓背景下用电需求增速放缓对公司整体业绩的影响
中国铁建股份有限公司,AAA 展望:稳定,中诚信证券评估有限公司,中国铁道建筑集团有限公司(持股51.13%),建筑与工程,中央国有企业,2/10,产业,公司为央企，规模很大，为竞争优势十分突出的全国性龙头建筑公司，受不利经济环境影响很小；但需要关注建筑企业的财务杠杆较高的风险。,,建筑工程,建筑行业竞争激烈，垫资经营特征明显，行业杠杆程度普遍偏高，但铁路、冶金等领域行业壁垒和集中度较高。,"央企中国铁建旗下上市平台，中国铁建/601186.SH、中国铁建/1186.HK、中国铁建(港股通)/1186.HKS),外部支持力度较大。",公司为我国两大铁路施工龙头之一，铁路施工业务业内领先，新签订单充沛，业务持续向好，但海外业务持续发展，需关注可能涉及的风险。,尽管资产负债率处于偏高水平，但实际有息债务负担较轻，流动性压力可控。,海外业务风险
