?????????????,AAA ??:??,???????????????,??????(??100%),????,??????,2/10,??,"??????????????,?????????,???????????????,???????2016??2025?????295???????????????????2019?3??,???????????,?????????????A??????????????,??????????????????2019?3??????????,??????????????,??????(19?3??63%),?????????,???????????????2017??2018?????????????????,??????????,????????,???????",??,30320,5785.9,126.29%,???,??
??????(??)????,AAA ??:??,?????????????????,??????????????????(??100%),?????,??????,3/10,??,"????18?GDP???,?????????????????????????????,??????,?????????????????????????????????,????????????????????????(18?9??47%),??????????,???????????",??,10460.09,1066.2,116.94%,???-????,???
?????????????,AAA ??:??,??????????,???????(??43.87%),?????,??????,3/10,??,"?????????????????,??2018?3??,???????????1??(???????)???2????(?????????)???2???????2???????4????(?????????)?3????111.47???????????,??????76?????????????????????????,??????????????????????,??????????????,???????????????????????????,????????????????????,????????????",??,13509.2,1825.06,270.18%,???-???,???
???????????????,AAA ??:??,??????????,??????(??100%),?????,??????,3/10,??,-,??,22859.35,1632.3,108.02%,???-???,???
??????????,AAA ??:??,???????????????,??????????????????(??88.06%),?????,??????,3/10,??,"??????????????????????;??????????????,??????????,?????????,??????,????,??????;??????????????,??????,????????????????????????????????????????????????",??,14847.29,1528.7,375.94%,???-???,???
??????????,AAA ??:??,???????????????,???????(??100%),?????,??????,3/10,??,"??????????????,????????,?????????????????????????,????????????????????,19?3?????44.64%;???????,????????????????,?2014??????????,???582??????????,16?-19?3?,????359?,19?3????????8.8??",??,22859.35,1632.3,108.02%,???-???,???
???????????,AAA ??:??,?????????????????,????????????(??100%),????,??????,3/10,??,"?????????????,?????????????????????????????????,??????????????????????????????????????????????29.38%???,??????,????,???????",??,24221.98,3538.4,23.88%,???-???,???
?????????????,AAA ??:??,????????????,??????????????????(??51.94%),????,??????,3/10,??,"??????????????????????,?????????,????10?,??????????52.95%???,?????????????????????????????,?????,???????,???????,?????????????????????????",??,18597.5,2120,275.38%,???-???,???
,,,,,,,,,,,,,,
??????????,AAA ??:??,??????????,??????????????????(??92.82%),?????,??????,3/10,??,"????????????????,????????????????????,??????????????56???30???46??,2017??????50??,2018?????30???
??19?3??,??????10?,18?????19.23??,??????20.12??,????;????????1006.15??,??????700??,???????632.31??,??????100-150??,??????;????????,???????????????????????",??,12820.4,1470,560.04%,???-???,???
????????(??)????,AA+ ??:??,?????????????????,??????(??)????(??100%),???????,??????,3/10,??,"?????????????????,??????????,???????????????????,???????,????????(19?3??56.11%),?????????,??????,??????,????????????????????????????",??,10460.09,1066.2,116.94%,???-????,???
?????????????????,AAA ??:??,?????????????????,??????????????????(??100%),?????,??????,3/10,??,-,??,14847.29,1528.7,375.94%,???-???,???
????(??)????,AAA ??:??,?????????????????,??????????????(??100%),?????,??????,3/10,??,"??????????????????,?2013????????????,??????????,???????????,????????????????????,???????????????????????????????,???????,??????????,??????????,???????,???????????????18?6?????????27%,????????????????",??,32679.87,7108.1,62.84%,???,??
???????????????,AAA ??:??,???????????,??????????????(??100%),?????,??????,3/10,??,"??????????????????????,???????,??????,?????,18?GDP?2.4?????????????,????????;??????????????????????,????????????????????,??????,??????(19?3??43.51%),????????????????????",??,24221.98,3538.4,23.88%,???-???,???
???????????????,AAA ??:??,??????????,???????(??98.91%),?????,??????,3/10,??,"?????????????????????,????????????????????????????????,??????????????,?????????????,???????,?????????????,19?1?????????60%,?????????,??????????,?????,??????",??,13509.2,1825.06,270.18%,???-???,???
