神奇校车·图画书版（全12册，新增《科学博览会》1册）,贵州人民出版社,¥99.00,¥198.00,2018-05-10
人间失格（日本小说家太宰治的自传体小说，李现推荐）,作家出版社,¥9.50,¥25.00,2015-08-01
小熊和最好的爸爸（全7册）,贵州人民出版社,¥4.99,¥35.00,2007-11-01
古汉语常用字字典（第5版）,商务印书馆,¥17.50,¥39.90,2016-04-01
正面管教(修订版),北京联合出版公司,¥34.00,¥38.00,2016-07-01
少年读史记（套装全5册）,青岛出版社,¥23.90,¥100.00,2015-09-01
摆渡人3无境之爱（千万畅销心灵治愈小说“摆渡人”系列完结篇，令,百花洲文艺出版社,¥12.99,¥46.00,2019-04-01
活着（2017年新版）,作家出版社,¥50.00,¥28.00,2012-08-01
红星照耀中国（青少版）人民文学出版社,人民文学出版社,¥31.74,¥33.00,2017-06-01
流浪的地球（刘慈欣著，无删节无改写，大人孩子均可阅读，此版本,浙江教育出版社,¥9.99,¥29.00,2018-05-01
朝花夕拾（“教育部统编《语文》推荐阅读丛书”）部编教材七年级,人民文学出版社,¥14.00,¥22.00,2018-04-01
断舍离,广西科学技术出版社,¥9.99,¥32.00,2013-07-01
月亮与六便士（新版未删节！2018当当名著桂冠！2017豆瓣阅读桂冠,浙江文艺出版社,¥26.40,¥39.80,2017-01-10
神奇校车·桥梁书版（全20册）,贵州人民出版社,¥13.00,¥150.00,2014-04-01
追风筝的人（2018年新版）,上海人民出版社,¥19.10,¥36.00,2006-05-01
写给儿童的中国历史（全14册）,新世界出版社,¥16.00,¥355.00,2014-04-01
人生海海（教育部推荐阅读！莫言、董卿、杨洋、王家卫倾力推荐）,北京十月文艺出版社,¥6.99,¥55.00,2019-04-16
我的第一本地理启蒙书,新世界出版社,¥19.90,¥49.80,2016-06-01
小学生必背古诗词75+80首 20多万读者好评，不同印次随机发货,华语教学出版社,¥3.99,¥28.00,2014-02-01
丰子恺万般滋味，都是生活,华中科技大学出版社,¥75.00,¥42.00,2018-09-01
乌丢丢的奇遇 曹文轩推荐儿童文学经典书系 24万多名读者热评！,北京教育出版社,¥14.10,¥18.80,2015-04-01
笑背古诗：漫画版（全4册 ），中国诗词大会点评嘉宾推荐 含小学生,湖南教育出版社,¥70.00,¥140.00,2019-05-01
野兽国 （凯迪克金奖绘本，莫里斯桑达克代表品）,贵州人民出版社,¥18.00,¥36.00,2014-06-01
平凡的世界：全三册（朱一龙推荐，八年级下册自主阅读推荐）,北京十月文艺出版社,¥74.50,¥108.00,2017-06-01
我不敢说，我怕被骂,北京联合出版公司,¥59.99,¥34.80,2016-09-01
我爸爸+我妈妈（全2册）,中信出版社,¥17.40,¥71.60,2014-05-01
养育男孩（典藏版）,北京十月文艺出版社,¥48.60,¥32.00,2014-04-01
牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、李现,天津人民出版社,¥15.80,¥35.00,2018-01-01
浮生六记（李现推荐版本，畅销300万册，1041725条当当读者五星好,湖南文艺出版社,¥5.99,¥32.00,2015-08-01
小孩（大冰2019全新作品！5分钟销量6.3万册+，30分钟突破12.4万册,河北教育出版社,¥24.20,¥39.60,2019-07-01
我喜欢自己,安徽教育出版社,¥11.99,¥27.80,2011-05-01
朝花夕拾（新课标·部编本教材推荐阅读  七年级上）,作家出版社,¥16.00,¥18.00,2015-01-01
我喜欢生命本来的样子(周国平经典散文作品集),南海出版公司,¥2.99,¥45.00,2017-02-01
马尔克斯：百年孤独（50周年纪念版）,海豚出版社,¥21.80,¥55.00,2017-08-01
一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,贵州教育出版社,¥13.90,¥128.00,2019-04-30
手不是用来打人的（儿童好品德系列，全5册）,人民教育出版社,¥15.30,¥99.00,2018-04-01
红星照耀中国 八年级上 人教版名著阅读课程化丛书 教育部统编教材,人民邮电出版社,¥0.00,¥43.80,2018-06-01
福尔摩斯探案集（中小学新课标必读名著）130000多名读者热评！,北京联合出版有限公司,¥22.00,¥17.80,2014-03-01
天才在左 疯子在右(2018全新完整版),商务印书馆国际有限公司,¥41.30,¥49.80,2018-05-01
东野圭吾：白夜行（易烊千玺、邓伦推荐，东野圭吾作品无冕之王）,南海出版公司,¥41.10,¥59.60,2017-08-09
拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习必备启蒙书,电子工业出版社,¥19.99,¥99.00,2018-10-15
任溶溶系列：没头脑和不高兴(注音版）,浙江少年儿童出版社,¥49.50,¥18.00,2018-04-01
如何说孩子才会听 怎么听孩子才肯说（全新修订版）,中央编译出版社,¥9.00,¥36.80,2016-09-01
好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品,现代出版社,¥18.30,¥39.80,2017-11-11
米小圈上学记一年级（套装共4册）,四川少儿出版社,¥3.99,¥100.00,2018-04-01
西游记（上下）原著（教育部统编《语文》推荐阅读丛书）,人民文学出版社,¥19.90,¥56.00,2018-05-30
花婆婆,河北教育出版社,¥50.00,¥32.80,2014-12-01
