嵌入式软件（摄像头IQ调试）,深圳市昊微科技有限公司,大专,5K-7K,[],1-3年
嵌入式软件工程师（行车记录仪）,深圳市昊微科技有限公司,大专,6.5K-13K,"['每年多次调薪', '全勤奖', '加班补助', '绩效奖金', '带薪年假']",1-3年
Python（爬虫）工程师,深圳洪堡科技有限公司,大专,10K-15K,"['五险一金', '节日福利', '带薪年假', '员工旅游', '定期体检']",1-3年
急聘:Python开发/爬虫/实习生,深圳市宇达计算机有限公司,学历不限,3.5K-7K,"['14薪', '包住', '大牛带队', '公司重点项目', '绩效奖金']",不限
python,深圳市乐瀛科技有限公司,大专,15K-20K,"['五险一金', '带薪年假', '定期体检', '周末双休', '定期团建']",3-5年
Python开发助理/包住/高福利,深圳市创联测试技术有限公司,大专,3.5K-7K,"['五险一金', '绩效奖金', '年终分红', '包吃', '包住']",不限
python后台开发工程师,深圳方德人力资源服务有限公司,本科,15K-30K,[],3-5年
python开发,上海速强信息技术股份有限公司,本科,10K-15K,"['五险一金', '弹性工作', '员工旅游', '定期体检', '节日福利']",1-3年
中级Python开发工程师,深圳锐链科技有限公司,本科,10K-15K,"['五险一金', '加班补助', '绩效奖金', '弹性工作', '带薪年假']",3-5年
Python开发工程师,易宝软件科技(南京)有限公司,本科,15K-20K,"['五险一金', '绩效奖金', '带薪年假', '定期体检', '弹性工作']",3-5年
python后端开发,中软国际科技服务有限公司,本科,薪资面议,"['五险一金', '绩效奖金', '带薪年假', '弹性工作', '加班补助']",不限
python测试开发工程师,广州安正软件股份有限公司,大专,10K-15K,"['周末双休', '五险一金', '节日福利', '带薪年假', '餐补']",3-5年
编程老师/Python/JAVA/明星代言,深圳市童程童美教育有限公司,本科,8K-15K,"['五险一金', '绩效奖金', '餐补', '节日福利', '全额公积金']",不限
编程老师/Python/JAVA/上市,深圳市童程童美教育有限公司,大专,8K-15K,"['五险一金', '绩效奖金', '餐补', '节日福利', '全额公积金']",不限
Python开发工程师,FORISLIMITED,本科,50K-100K,"['五险一金', '带薪年假', '弹性工作', '生日福利', '创业公司']",5-10年
SFJ-Python开发工程师（供应链算法方向）,顺丰科技有限公司,本科,薪资面议,"['五险一金', '周末双休', '餐补', '弹性工作', '带薪年假']",3-5年
高级开发工程师（C++或Python）,深圳证券通信有限公司,本科,18K-29K,"['五险一金', '年底双薪', '绩效奖金', '带薪年假', '定期体检']",1-3年
python开发工程师,深圳市睿服科技有限公司,本科,10K-15K,"['五险一金', '年底双薪', '包吃', '包住', '餐补']",3-5年
腾讯-APP后端开发，python+PHP,中软国际科技服务有限公司,本科,薪资面议,"['五险一金', '节日福利', '员工旅游', '免费班车', '餐补']",1-3年
【腾讯】数据分析运营（SQL、PYTHON）,中软国际科技服务有限公司,本科,薪资面议,"['五险一金', '定期体检', '弹性工作', '带薪年假', '周末双休']",1-3年
python开发工程师,中软国际科技服务有限公司,本科,薪资面议,"['五险一金', '周末双休', '绩效奖金', '加班补助', '带薪年假']",3-5年
Python 爬虫工程师,中软国际科技服务有限公司,本科,薪资面议,"['五险一金', '绩效奖金', '带薪年假', '弹性工作', '节日福利']",3-5年
python开发,中软国际科技服务有限公司,本科,薪资面议,['五险一金'],1-3年
高级Python开发工程师,上海岱美企业管理咨询有限公司,本科,20K-30K,"['节日福利', '员工旅游', '五险一金', '带薪年假', '每年多次调薪']",3-5年
python,中软国际科技服务有限公司,本科,薪资面议,[],3-5年
python开发,纬创软件(珠海),本科,10K-20K,"['五险一金', '带薪年假', '员工旅游', '节日福利', '周末双休']",不限
python开发工程师（粤语）,纬创软件(珠海),本科,10K-20K,"['五险一金', '年底双薪', '绩效奖金', '带薪年假', '节日福利']",1-3年
Python开发,深圳市德科信息技术有限公司,本科,10K-15K,"['周末双休', '五险一金', '补充医疗保险', '年底双薪', '弹性工作']",3-5年
Python开发助理/包住/高绩效,深圳市创联测试技术有限公司,大专,3.5K-7K,"['五险一金', '绩效奖金', '年终分红', '包吃', '包住']",不限
python工程师（粤语）,纬创软件(珠海),本科,10K-18K,"['五险一金', '年底双薪', '绩效奖金', '带薪年假', '节日福利']",1-3年
python开发,中软国际科技服务有限公司,本科,薪资面议,"['五险一金', '周末双休', '节日福利', '定期团建', '带薪年假']",1-3年
Python开发（后海),深圳市德科信息技术有限公司,大专,10K-15K,"['周末双休', '五险一金', '补充医疗保险', '年底双薪', '弹性工作']",3-5年
IT培训讲师（Python）,中公教育广东分公司,本科,10K-15K,"['五险一金', '绩效奖金', '弹性工作', '带薪年假', '定期体检']",不限
python + 助理岗/开发方向-爬虫,深圳市创联测试技术有限公司,学历不限,3.5K-7K,"['14薪', '包住', '大牛带队', '公司重点项目', '项目奖金']",不限
python,武汉佰钧成技术有限责任公司,本科,15K-25K,"['五险一金', '定期体检', '节日福利', '免费停车', '免费班车']",3-5年
阿斯麦-Python半导体测试工程师,北京外企德科人力资源服务上海有限公司,本科,10K-15K,"['五险一金', '带薪年假', '绩效奖金', '节日福利', '试用期全额']",1-3年
Python开发（后台）,深圳市博悦科创科技有限公司,本科,9K-15K,"['周末双休', '节日福利', '五险一金', '员工旅游', '定期体检']",1-3年
python实习助理/双休,深圳智联慧通技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python开发,深圳市拓保软件有限公司,本科,12K-16K,"['五险一金', '年底双薪', '定期体检', '节日福利', '周末双休']",3-5年
python开发工程师（a）,深圳泽派信息技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
急招python开发助理/实习生,深圳智联慧通技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
初级python助理（智能开发),深圳泽派信息技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python软件开发实习4k起+双休,深圳智联慧通技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
急聘：（python开发工程师）,深圳泽派信息技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
诚招：初级Java/Python开发助理/MySQL辅助优化,深圳市创联测试技术有限公司,大专,3.5K-7K,"['14薪', '包住', '大牛带队', '公司重点项目', '年终分红']",不限
python开发工程师/助理岗/开发方向-爬虫,深圳市创联测试技术有限公司,学历不限,4.5K-9K,"['14薪', '包住', '大牛带队', '公司重点项目', '项目奖金']",不限
python工程师,深圳市深为软件技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python开发工程师（项目奖金）,深圳市深为软件技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python爬虫工程师(欢迎优秀人士加入),深圳泽派信息技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python助理,深圳智联慧通技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
招兵买马：（python爬虫开发工程师）,深圳泽派信息技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python工程师,深圳市融会通网络科技有限公司,大专,6K-8K,"['每年多次调薪', '五险一金', '绩效奖金', '加班补助', '带薪年假']",不限
急聘 python爬虫开发工程师,深圳前海百川投资管理咨询有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python初级开发工程师,深圳泽派信息技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python开发工程师,深圳市深为软件技术有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
招兵买马：（python开发工程师）,深圳市克乐科技有限公司,大专,6K-8K,"['14薪', '五险一金', '全勤奖', '餐补', '房补']",无经验
python实习生,深圳市腾尚时代互联网科技有限公司,大专,6K-8K,"['五险一金', '年底双薪', '绩效奖金', '全勤奖', '通讯补助']",不限
急招:Python爬虫开发助理/包住,深圳市创联测试技术有限公司,学历不限,3.5K-7K,"['14薪', '包住', '大牛带队', '公司重点项目', '项目奖金']",不限
python开发/数据采集,深圳市创联测试技术有限公司,学历不限,3.5K-7K,"['14薪', '包住', '大牛带队', '公司重点项目', '项目奖金']",不限
大数据   python   毕业生,粤嵌众创科技(深圳)有限公司龙岗分公司,中专,4K-6K,"['五险一金', '全勤奖', '年底双薪', '绩效奖金', '带薪年假']",不限
Python爬虫开发助理/包住,深圳市创联测试技术有限公司,大专,3.5K-7K,"['五险一金', '包住', '节日福利', '弹性工作', '定期体检']",不限
诚招:Python开发助理/数据分析方向/包住,深圳市创联测试技术有限公司,学历不限,3.5K-7K,"['14薪', '包住', '大牛带队', '公司重点项目', '项目奖金']",不限
Python 开发/运维/自动化测试/包住,深圳市创联测试技术有限公司,学历不限,3.5K-7K,"['14薪', '包住', '大牛带队', '公司重点项目', '项目奖金']",不限
数据分析（python）,深圳市博悦科创科技有限公司,本科,10K-15K,"['周末双休', '节日福利', '五险一金', '员工旅游', '定期体检']",1-3年
python,深圳市睿服科技有限公司,本科,10K-17K,"['五险一金', '年终分红', '加班补助', '带薪年假', '弹性工作']",3-5年
python开发（招商金科）,深圳市博悦科创科技有限公司,本科,12K-18K,"['五险一金', '周末双休', '定期体检', '节日福利', '员工旅游']",3-5年
python开发工程师,三门峡崤云安全服务有限公司,大专,6K-12K,"['周末双休', '五险一金', '年底双薪']",3-5年
python开发工程师助理,深圳市凡辰芯科技有限公司,大专,4K-6K,"['周末双休', '五险一金', '年底双薪', '餐补', '包住']",不限
python开发工程师,深圳市睿服科技有限公司,学历不限,15K-20K,"['五险一金', '年底双薪', '绩效奖金', '股票期权', '加班补助']",不限
