质检员/QC（六险，福利好）,广东拓臣科技发展有限公司,高中,4K-6K,"['周末双休', '年底双薪', '绩效奖金', '全勤奖', '通讯补助']",1-3年
质量研究工程师,广东省质量发展促进会,本科,5K-10K,"['五险一金', '绩效奖金', '全勤奖', '带薪年假', '员工旅游']",不限
质量助理检验员（地质矿物检测相关）,广州能源检测研究院,本科,1K-2K,"['周末双休', '包吃', '地铁接驳车']",无经验
质量助理检验员,广州能源检测研究院,大专,1K-2K,"['周末双休', '包吃', '地铁接驳车']",无经验
qa质量管理,广州泛恩生物科技有限公司,本科,6.5K-10K,"['创业公司', '周末双休', '五险一金', '绩效奖金', '带薪年假']",3-5年
质量负责人,广东万洋药业有限公司,大专,8K-10K,"['年底双薪', '全勤奖', '包吃', '包住', '员工旅游']",3-5年
质量负责人,广州赛晖检测技术有限公司,大专,8K-10K,"['住房补贴', '五险一金', '绩效奖金', '不加班', '全勤奖']",1-3年
质量部经理,广东国药医药有限公司,大专,5K-6.5K,[],1-3年
加工厂质量经理,HFP,本科,10K-15K,"['五险一金', '年底双薪', '定期体检', '弹性工作', '创业公司']",3-5年
质量负责人,广州市歌丽丝化妆品有限公司,大专,8K-10K,"['员工旅游', '定期体检', '绩效奖金', '节日福利', '餐补']",3-5年
化妆品质量经理/品质经理,浙江艳庄化妆品有限公司,大专,10K-15K,"['五险一金', '包吃', '包住', '带薪年假', '定期体检']",3-5年
质量部QA,广州笔匠化妆品有限公司,大专,4K-8K,"['包住', '包吃', '通讯补助', '带薪年假', '年终分红']",3-5年
质量主管,广州富玛医药科技股份有限公司,大专,5K-8K,"['五险一金', '节日福利', '定期体检', '周末双休', '带薪年假']",1-3年
质量负责人,同创伟业(广东)检测技术股份有限公司,大专,6K-10K,"['周末双休', '节日福利', '餐补', '员工旅游', '带薪年假']",3-5年
质量管理员（质检员）,广州裕定开贸易有限公司,大专,6K-8K,"['周末双休', '五险一金', '年底双薪', '加班补助', '餐补']",3-5年
高级质量专员,广州隆超/广州维联/广州合口美有限公司,大专,4K-6K,"['五险一金', '包住', '带薪年假']",1-3年
质量总监,广州胶管厂有限公司,本科,6K-8K,"['五险一金', '包住', '免费班车', '免费停车']",1-3年
qa质量管理,广州天越电子科技有限公司,本科,7K-9K,"['年底双薪', '绩效奖金', '餐补', '带薪年假', '员工旅游']",1-3年
质量管理专员,湛江市事达实业有限公司,本科,5K-7K,"['五险一金', '绩效奖金', '全勤奖', '包住', '交通补助']",不限
质量检测,广州鼎商金属制品有限公司,学历不限,4K-6K,"['绩效奖金', '加班补助', '全勤奖', '包吃', '包住']",不限
器械质量管理员,广东南粤药业有限公司,大专,2K-4K,"['五险一金', '绩效奖金', '带薪年假', '周末双休', '节日福利']",1-3年
质量检验员/测试员/QC人员,广州易航电子有限公司,学历不限,4K-6K,"['包吃', '全勤奖', '节日福利', '员工旅游', '包住']",不限
