销售代表（大小周，培训体系完善晋升快，五险）,广州捷开五金制品有限公司,学历不限,6K-8K,"['年底双薪', '绩效奖金', '全勤奖', '带薪年假', '节日福利']",1-3年
体系专员,广州淘思塔贸易有限公司,大专,6K-8K,"['每年多次调薪', '全勤奖', '高温补贴', '餐补']",不限
KA销售经理（自然派集团KA体系）,深圳市晋年贸易有限公司,学历不限,15K-20K,[],不限
体系专员,广东得源能源物流发展股份有限公司,大专,4K-6K,"['包住', '节日福利', '加班补助', '免费班车', '员工旅游']",不限
体系工程师,广州由我科技股份有限公司,大专,6K-8K,"['包住', '节日福利', '员工旅游', '带薪年假', '周末双休']",3-5年
广州KA销售代表（自然派集团--KA体系）,深圳市晋年贸易有限公司,大专,6K-8K,[],3-5年
体系工程师,广州市白云清洁用品有限公司,大专,7K-9K,"['包住', '餐补', '五险', '节日福利', '工作居住证']",3-5年
营运督导（广州区直营体系）,深圳市晋年贸易有限公司,大专,5K-7K,"['五险一金', '绩效奖金', '带薪年假']",5-10年
体系专员,广州市香雪制药股份有限公司,大专,4.5K-7.5K,"['五险一金', '绩效奖金', '带薪年假', '节日福利', '周末双休']",1-3年
质量体系工程师,广州健新科技股份有限公司,本科,6K-8.5K,"['五险一金', '包吃', '高温补贴', '节日福利', '定期体检']",1-3年
体系审核员,北京鉴衡认证中心有限公司,本科,7K-10K,"['五险一金', '节日福利', '定期体检', '定期团建', '交通补助']",不限
体系工程师,广州迪澳生物科技有限公司,本科,5K-8K,"['五险一金', '交通补助', '餐补', '带薪年假', '定期体检']",不限
质量体系工程师,广州智择电子科技有限公司,大专,6K-10K,"['五险一金', '加班补助', '餐补', '房补', '带薪年假']",3-5年
底薪6k买社保/名企直招销售管培生,贝壳找房(北京)科技有限公司,大专,10K-15K,"['绩效奖金', '弹性工作', '五险一金', '定期体检', '定期团建']",不限
软件销售专员,广州闻乐教育科技有限公司,中专,4K-5K,"['绩效奖金', '带薪年假', '通讯补助']",1-3年
3D建模讲师＋五险一金＋提供住宿P,广州潭州教育网络科技有限公司,大专,4K-6K,"['五险一金', '绩效奖金', '带薪年假', '节日福利', '住房补贴']",不限
客户关系专员/主管,融创(深圳)房地产有限公司,本科,10K-15K,"['五险一金', '商业险', '年度体检', '年终奖', '周末双休']",3-5年
区域销售经理,广州闻乐教育科技有限公司,大专,6K-11K,"['绩效奖金', '带薪年假', '创业公司', '员工旅游', '通讯补助']",1-3年
软件销售实习生,广州闻乐教育科技有限公司,大专,4K-5K,"['绩效奖金', '带薪年假', '补充医疗保险', '通讯补助']",不限
项目经理,广州美品苏打网络科技有限公司,本科,15K-25K,"['免费班车', '员工旅游', '健身俱乐部', '公司重点项目', '定期团建']",3-5年
客户经理,广州银点通网络科技有限公司,学历不限,6K-8K,"['节日福利', '定期团建', '五险一金', '年终分红', '周末双休']",不限
广州质控专员,海南飞迅达电子商务有限公司,学历不限,4K-6K,"['五险一金', '全勤奖', '带薪年假']",不限
英语教师4-6名（幼儿/小学/初中）,广州市番禺区优越教育培训中心,大专,3.5K-7K,"['五险一金', '绩效奖金', '年终分红', '节日福利', '带薪年假']",不限
商业地产顾问（广州国际金融中心分部销售代表）,深圳盛勤商业地产代理有限公司,学历不限,4K-8K,"['年底双薪', '绩效奖金', '全勤奖', '带薪年假', '定期体检']",1-3年
交易员（公司提供资金）,广州一篮子信息科技有限公司,大专,15K-20K,"['定期团建', '周末双休', '不加班', '节日福利', '弹性工作']",1-3年
环境技术支持,广东万德检测技术股份有限公司,本科,6K-8K,"['包住', '餐补', '带薪年假', '节日福利', '五险一金']",1-3年
底薪加房补四千起/金沙洲/房产销售顾问,贝壳找房(北京)科技有限公司,学历不限,4K-8K,"['带薪年假', '弹性工作', '绩效奖金', '通讯补助', '房补']",无经验
产品开发助理/专员,广州米烁贸易有限公司,大专,4K-8K,"['全勤奖', '周末双休', '年终分红', '绩效奖金', '加班补助']",不限
底薪5k+各种福利+团队活动+贝壳大平台房,贝壳找房(北京)科技有限公司,学历不限,6K-8K,"['五险一金', '带薪年假', '弹性工作', '补充医疗保险']",不限
客服,广州良一仓网络科技有限公司,中专,4K-6K,"['全勤奖', '带薪年假', '节日福利', '购买五险']",不限
行政前台,广州玳尔化妆品有限公司,中专,2K-4K,"['年底双薪', '带薪年假', '节日福利', '周末双休', '不加班']",不限
网店客服（上下班不打卡）,广州埃自造网络科技有限公司,中专,6K-8K,"['弹性工作', '节日福利', '带薪年假', '员工旅游', '五险']",1年以下
微生物检测员,广东万德检测技术股份有限公司,大专,4K-8K,"['餐补', '带薪年假', '节日福利', '五险一金', '包住']",1-3年
房地产置业顾问/网络销售-就近安排-高提成,贝壳找房(北京)科技有限公司,学历不限,10K-15K,"['五险一金', '绩效奖金', '定期体检', '弹性工作', '节日福利']",不限
链家置业顾问-有灵魂有自我的网络销售,贝壳找房(北京)科技有限公司,学历不限,8K-10K,"['绩效奖金', '带薪年假', '员工旅游', '定期团建', '五险一金']",不限
房建项目副经理（兼总工）（五险一金+包吃包住）,广东航鑫咨询有限公司,大专,8K-12K,"['五险一金', '绩效奖金', '全勤奖', '包吃', '包住']",5-10年
java开发工程师（中级）,广州赛森软件开发有限公司,大专,8K-12K,"['五险一金', '年底双薪', '绩效奖金', '员工旅游']",1-3年
HRBP,广州云移信息科技有限公司,本科,6K-8K,"['带薪年假', '节日福利', '五险一金', '扁平管理', '氛围好']",1-3年
QC主管,广州泛恩生物科技有限公司,本科,8.5K-15K,"['创业公司', '周末双休', '五险一金', '绩效奖金', '带薪年假']",3-5年
电子工程师/技术员,广州市森跃电子有限公司,学历不限,4K-8K,"['五险一金', '年底双薪', '绩效奖金', '年终分红', '包吃']",不限
诚聘旅游顾问---【南湖国旅】,广州南湖粤途国际旅行社有限公司,学历不限,8K-10K,"['带团队', '员工旅游', '弹性工作']",不限
