石家庄市城市管理综合行政…,"
投诉
",石家庄高营大街到底啥时候能拓宽 拥堵严重,"
2019-10-11
"
邯郸市城市管理和综合行政…,"
投诉
",邯郸市永年县没按天然气的怎么过冬？,"
2019-10-11
"
石家庄市公安局高新区分局,"
投诉
",石家庄高新区交警违章告知单联系电话打不通,"
2019-10-11
"
献县城市管理行政执法局,"
投诉
",沧州市献县饭店油烟影响居民,"
2019-10-11
"
迁西县卫生健康局,"
投诉
",唐山市迁西县中医院体外碎石科对外承包 无证行医,"
2019-10-11
"
阳光理政栏目组,"
投诉
",沧州逸城浅水湾门口市政工程施工后未恢复 无法通行,"
2019-10-11
"
保定市住房和城乡建设局,"
投诉
",保定居民供暖报停后无法恢复 服务不人性,"
2019-10-11
"
邯郸市水利局,"
投诉
",邯郸市东方新天地小区每天停水一小时影响居民生活,"
2019-10-11
"
邯郸市档案局,"
投诉
",邯郸市人才交流中心将档案遗失,"
2019-10-11
"
邯郸市热力公司,"
投诉
",邯郸市热力公司乱收费,"
2019-10-11
"
邯郸市建设局,"
投诉
",邯郸市华浩地产开发华浩广星源不开具发票签合同,"
2019-10-11
"
邯郸市城市管理和综合行政…,"
投诉
",邯郸市山水文苑秀园小区入住三年没暖气,"
2019-10-11
"
河北一卡通电子支付服务有…,"
投诉
",河北一卡通ETC卡退费难 承诺落空仍无果,"
2019-10-11
"
邯郸市自然资源和规划局,"
投诉
",邯郸市魏县国土资源局久拖十七年不予办理宅基地确权,"
2019-10-11
"
唐山市税务局,"
投诉
",唐山迁西龙凤嘉园北区交房六年 至今没有发票,"
2019-10-11
"
献县城市管理行政执法局,"
投诉
",沧州市献县日新御景小区门口饭店把油烟排放到小区,"
2019-10-11
"
邯郸市建设局,"
投诉
",邯郸市魏县魏都花园冬季迟迟不能供暖,"
2019-10-11
"
阜平县城管执法局,"
投诉
",保定阜平县城管局拆除农村鸡舍猪舍 有何依据？,"
2019-10-11
"
涿州市市场监督管理局,"
投诉
",保定涿州房主被北京知心爱人装饰公司欺骗 两年不施工不退钱,"
2019-10-11
"
沧州市新华区城市管理局,"
投诉
",沧州新华区御宇国际秀瑞苑西门南侧灵芝堂药房喇叭扰民,"
2019-10-11
"
邯郸市城市管理和综合行政…,"
投诉
",邯郸市拉德芳斯南区一楼私搭乱建影响安全,"
2019-10-11
"
邯郸市建设局,"
投诉
",邯郸涉县怡馨苑小区2018年交房一年多不给购房发票,"
2019-10-11
"
石家庄市教育局,"
投诉
",石家庄精英中学毕业生团关系至今无法转出,"
2019-10-11
"
邯郸市建设局,"
投诉
",邯郸市江泉悦公馆无预售证提前售房 拒退款给业主,"
2019-10-11
"
