AUG | 秋叶原之选 (略有磨损),3799.5,70
AK-47 | 燃料喷射器 (久经沙场),212.4,888
沙漠之鹰 | 都市瓦砾 (崭新出厂),2.28,185
CZ75 自动手枪 | 翡翠色调 (崭新出厂),34.65,291
驾驶手套（★） | 月色织物 (久经沙场),619.4,154
P250 | 超新星 (崭新出厂),4.94,730
AK-47（StatTrak™） | 蓝色层压板 (略有磨损),98.7,330
M4A1 消音型 | 破碎铅秋 (久经沙场),12.8,529
沙漠之鹰（StatTrak™） | 机械工业 (久经沙场),57.6,215
格洛克 18 型（StatTrak™） | 战鹰 (略有磨损),6.49,110
USP 消音版 | 公路杀手 (久经沙场),67.5,127
P250（纪念品） | 硝烟 (久经沙场),4.29,253
截短霰弹枪 | 荒野公主 (略有磨损),13.15,218
SG 553 | 幻影 (略有磨损),4.99,329
AWP（StatTrak™） | 暴怒野兽 (久经沙场),293,48
AWP | 二西莫夫 (久经沙场),289,3107
暗影双匕（★） | 大马士革钢 (略有磨损),369.49,46
“突围大行动”武器箱,1.55,3590
AWP | 红线 (久经沙场),70.4,632
反恐精英20周年武器箱,5.39,2676
“突围大行动”武器箱,1.55,3590
AWP | 红线 (久经沙场),70.4,632
反恐精英20周年武器箱,5.39,2676
鲍伊猎刀（★） | 渐变之色 (崭新出厂),1299.5,120
双持贝瑞塔 | 碎片 (崭新出厂),1.19,237
USP 消音版 | 脑洞大开 (久经沙场),20.6,1610
AUG（StatTrak™） | 琥珀冲流 (久经沙场),2.07,106
M9 刺刀（★）,1227,172
UMP-45 | 简报 (崭新出厂),1.77,98
M4A1 消音型 | 北方森林 (略有磨损),1.4,227
加利尔 AR | 黑砂 (崭新出厂),1.39,151
AWP | 火卫— (崭新出厂),11.4,459
格洛克 18 型（StatTrak™） | 锈蚀烈焰 (崭新出厂),12.9,69
格洛克 18 型（StatTrak™） | 城里的月光 (略有磨损),16.3,365
CZ75 自动手枪（StatTrak™） | 红鹰 (久经沙场),8.48,44
SG 553 | 电子脉冲 (略有磨损),39.5,218
P250 | 富兰克林 (崭新出厂),6.99,529
MP9 | 致命毒药 (略有磨损),1.28,67
AK-47 | 燃料喷射器 (略有磨损),314.5,756
AK-47 | 前线迷雾 (崭新出厂),194.5,116
折叠刀（★） | 多普勒 (崭新出厂),929,1028
MAG-7（纪念品） | 核芯破裂 (破损不堪),11.89,11
UMP-45 | 城里的月光 (崭新出厂),5.26,935
印花 | Counter Logic Gaming（全息）| 2016年科隆锦标赛,90.56,83
P90 | 沙漠涂装 (崭新出厂),1.04,14
CZ75 自动手枪 | 战术高手 (久经沙场),1.83,655
音乐盒 | Daniel Sadowski — 8 位音乐盒,14.69,93
MAC-10 | 霓虹骑士 (崭新出厂),69.39,359
蝴蝶刀（★） | 蓝钢 (久经沙场),1428.5,128
格洛克 18 型 | 水灵 (略有磨损),26.4,994
AK-47（StatTrak™） | 燃料喷射器 (久经沙场),608.38,107
R8 左轮手枪 | 重新启动 (略有磨损),6.59,137
格洛克 18 型 | 渐变之色 (崭新出厂),2330,287
P2000 | 至尊威龙 (略有磨损),13.8,126
MP7 | 渐变之色 (崭新出厂),86.9,269
MP5-SD | 探员 (战痕累累),3.78,44
SG 553（StatTrak™） | 阿罗哈 (久经沙场),2.78,154
SG 553（StatTrak™） | 幻影 (略有磨损),29.9,144
SG 553 | 三巨头 (略有磨损),5.51,121
格洛克 18 型 | 红苹果 (崭新出厂),3.23,1895
格洛克 18 型 | 红苹果 (崭新出厂),3.23,1895
P90（纪念品） | 冰川网格 (久经沙场),3.84,90
MP9（StatTrak™） | 毛细血管 (久经沙场),1.56,54
格洛克 18 型（StatTrak™） | 蓝色裂纹 (久经沙场),17.6,196
截短霰弹枪 | 弄臣之颅 (久经沙场),1.63,16
AWP | 响尾蛇 (久经沙场),4.53,369
