演不下去了，搞笑的〜(〜),530,0,02-14 10:30
快拉快拉，不然领导不满意！,362,0,02-14 10:24
大烂臭？？？,329,0,02-14 10:24
为了让指数好看，今天还会拉50！,892,1,02-14 10:21
上证50，你就是个妖怪,476,0,02-14 10:16
千股跌停重出江湖,461,0,02-14 10:02
天天拉拉拉！累不累呀，大家都不傻，没人愿意接这么高,422,0,02-14 09:17
2550再来买吧,743,0,02-14 03:12
老套路 漂亮50 圈中蓝筹 大蓝筹 猴急猴急 用不了几天,1983,2,02-14 00:27
搅屎棍不死，坚决不入场,1332,2,02-13 23:46
反弹而已。趋势向下无力回天,1513,3,02-13 23:24
不带动中小创的上涨都是耍流氓,2967,16,02-13 23:22
是谁把上证50打造成了中国股民的公敌？谁？谁？？谁？,2262,3,02-13 22:37
17年容许某些人在A股市场营造50等白马股堰塞湖的人，,5693,10,02-13 22:37
真的很难做，我觉得，空仓是最好的选择，我没有想做的,638,0,02-13 22:35
估计明天又该轮到中小创补涨了！上证50多数蓝筹股就超,1527,1,02-13 19:07
明天又能用50砸大盘了，哈,467,0,02-13 17:11
又是拉50，其他中小板跌成狗[不屑],577,0,02-13 16:38
好：明必掉,424,0,02-13 16:16
有个问题想问一下。请陈独秀同志出来讲一讲好吗？,3888,5,02-13 14:57
还是老套路，中小创又虾米了。,524,0,02-13 14:52
50一涨大部分个股开始跌，太吓人了，呼与懂股市的人来,528,0,02-13 14:50
奇葩！怎么50一涨90%的股票就跌？为什么所谓的价值投,677,0,02-13 14:28
没人接高位50怎么办,434,0,02-13 14:23
看看能骗多久。,389,0,02-13 14:22
50一起，哭天喊地。,375,0,02-13 14:21
17年A股市场表象牛市的背后,6555,13,02-13 14:13
再拉50，一会必暴跌！去拉券商，特别是低位小券商！,1537,2,02-13 14:13
还在耍流氓？没有成交量的上涨都是耍流氓！,636,0,02-13 14:00
上证50指数午后持续缓慢回落,669,0,02-13 13:52
我是赖看笑话的，啊哈哈哈哈,359,0,02-13 13:50
拉50的猪头些，去拉券商，必定会激活人气！,438,0,02-13 13:49
现在哪有小散还敢进，今明两天，中小创带血的筹码，绝,372,0,02-13 13:48
上证50在半年线忽悠:老乡别走，还能抗一会。,437,0,02-13 13:48
这是红包，逃命之机。不逃就是你不对了！,839,1,02-13 13:47
上午拉邪恶50出货套一批，下午砸下来，把中小创也拉下,350,0,02-13 13:45
上午拉邪恶50，估计又套了一些人，,271,0,02-13 13:42
敢拉50，找死！,705,1,02-13 13:42
50一起来，其它全趴下了,285,0,02-13 13:41
上证50不滚下来，坚决不入场，指数的风险都是这帮孙子,361,0,02-13 13:40
还是老样子，操控50等大蓝筹，迟早还来一次股灾，不玩,437,0,02-13 13:35
一拉50，大盘完蛋,912,1,02-13 13:32
用友网络，创业板这两天的标杆，终于被邪恶50的下砸给,307,0,02-13 13:31
打死中小创，,336,0,02-13 13:25
中小创的上涨，完全不符合gjd的利益，捏死是必须的。,210,0,02-13 13:22
邪恶50，上午先把中小创捏死，下午在砸大盘，恶毒。,217,0,02-13 13:20
跳水套人,465,0,02-13 13:19
几吧到的上证50,313,0,02-13 13:18
还在喝茅台，不醉死不罢休,405,0,02-13 12:44
大太监为什么比小太监有钱？因为他们割得早(^0^),2368,4,02-13 12:44
外资会减蓝筹吗,776,1,02-13 12:42
呼吁到有关部门反映，空拉指数，而大部分个股价格却停,321,0,02-13 12:18
看到大家的发言，我可以放心地持有上证50的股票了！,465,0,02-13 11:42
鸡肋市！还是老套路拉大蓝筹，唉！你就不能让中小创涨,292,0,02-13 11:37
接大魔王指示最后2天各大妖怪头领速速拉涨,423,0,02-13 11:24
看来节后又可以大肆发新股了。,288,0,02-13 11:10
反正全空了，这种股市不好。,446,0,02-13 11:08
又开始拉50然后砸50的戏了。最终都没好果子吃,359,0,02-13 11:03
邪恶50,234,0,02-13 10:52
难怪我的票凉了,461,0,02-13 10:52
搅屎棍又出来害人了,233,0,02-13 10:52
50当心拉崩盘,264,0,02-13 10:52
再不能上涨了，涨得太多不是好事。,334,0,02-13 10:47
艹尼玛的蛋,310,0,02-13 10:45
一头驴子，进了精美的瓷器店，一顿乱踢。,383,0,02-13 10:45
空拉指数，跳水更猛,342,0,02-13 10:39
祸害人间，快跌吧,607,1,02-13 10:34
大盘股涨上去 祸害了多少小而灵动的中小创。大盘股还,288,0,02-13 10:33
老套路了。高山上需要有人接盘[鼓掌],351,0,02-13 10:29
嘿嘿，中小创又死了,320,0,02-13 10:20
哥，给点面子快点翻绿，不然小票又要跌了,779,1,02-13 10:15
奥瑞金龙头好股,329,0,02-13 10:11
mlgb,282,0,02-13 10:08
mlgb，又起来害人。,1252,3,02-13 10:05
